"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Logo_Thales_Silk_Bottom";1;"LOGO";;;
2;"G***";"Logo_CCSL_Silk_Bottom";1;"LOGO";;;
3;"L3,L2,L1";"WS2812-LED_HeatSink";3;"LED";;;
4;"F1";"FUSC4632X85N";1;"Polyfuse MF-MSMF050-2";;;
5;"J1";"47642-0001_Molex_USB";1;"USB_B_Mini";;;
6;"Y1";"Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm_HandSoldering";1;"XTal TSX-3225 16MHz";;;
7;"C1";"CP_EIA-2012-12_Kemet-R";1;"22µF";;;
8;"C2";"CP_EIA-2012-12_Kemet-R";1;"100nF";;;
9;"C5,C6,C11";"CP_EIA-2012-12_Kemet-R";3;"22pF";;;
10;"J3";"PinSocket_1x03_P2.54mm_Horizontal";1;"Conn_01x03";;;
11;"J4";"JTAG_HDRV10W41P127_2X5_676X325X510P";1;"JTAG";;;
12;"J5";"TestPoint_THTPad_D2.5mm_Drill1.2mm";1;"Conn_01x01_Female";;;
13;"R1,R5,R6";"R_0603_1608Metric";3;"10k";;;
14;"R2,R3";"R_0603_1608Metric";2;"22";;;
15;"U3";"TQFP-44_10x10mm_P0.8mm";1;"ATmega16U4-AU";;;
